EBELN,EBELP,MATNR,ORDER_QTY,NETPR,LINE_NETWR,WERKS,SCHEDULED_DATE,BSTYP
45000000001,00001,M100153,69,73.45,5068.05,PL02,2025-01-20,
45000000001,00002,M100057,51,6.54,333.54,PL03,2025-01-13,
45000000002,00001,M100291,62,4.19,259.78,PL03,2025-06-24,
45000000003,00001,M100281,48,33.71,1618.08,PL01,2025-04-02,
45000000003,00002,M100139,51,48.13,2454.63,PL03,2025-05-14,
45000000003,00003,M100159,57,21.39,1219.23,PL02,2025-05-14,
45000000004,00001,M100296,55,25.77,1417.35,PL01,2025-05-04,
45000000004,00002,M100209,44,42.29,1860.76,PL03,2025-04-06,
45000000004,00003,M100255,52,24.79,1289.08,PL03,2025-04-22,
45000000005,00001,M100083,46,21.57,992.22,PL01,2025-07-18,
45000000006,00001,M100495,39,26.85,1047.15,PL01,2025-02-24,
45000000007,00001,M100169,46,32.24,1483.04,PL02,2025-04-17,
45000000007,00002,M100231,48,17.21,826.08,PL04,2025-03-21,
45000000007,00003,M100153,42,52.52,2205.84,PL03,2025-04-12,
45000000008,00001,M100171,55,11.69,642.95,PL03,2025-05-12,
45000000009,00001,M100011,46,22.78,1047.88,PL02,2025-04-09,
45000000009,00002,M100465,70,76.35,5344.5,PL02,2025-03-13,
45000000009,00003,M100256,49,231.23,11330.27,PL04,2025-03-07,
45000000009,00004,M100014,74,30.56,2261.44,PL04,2025-03-27,
45000000010,00001,M100371,54,34.53,1864.62,PL02,2025-05-25,
45000000011,00001,M100270,42,12.77,536.34,PL03,2025-03-27,
45000000011,00002,M100344,56,9.76,546.56,PL02,2025-03-05,
45000000012,00001,M100029,50,42.56,2128.0,PL04,2025-05-03,
45000000013,00001,M100245,61,24.6,1500.6,PL03,2025-07-07,
45000000014,00001,M100458,61,119.26,7274.86,PL01,2025-03-02,
45000000015,00001,M100484,63,79.31,4996.53,PL03,2025-06-24,
45000000015,00002,M100013,52,46.45,2415.4,PL01,2025-06-22,
45000000015,00003,M100432,42,387.94,16293.48,PL04,2025-07-15,
45000000016,00001,M100410,41,2.0,82.0,PL02,2025-02-28,
45000000017,00001,M100222,64,21.06,1347.84,PL03,2025-05-05,
45000000018,00001,M100377,49,34.95,1712.55,PL04,2025-02-16,
45000000018,00002,M100043,48,128.37,6161.76,PL03,2025-02-22,
45000000018,00003,M100456,39,372.51,14527.89,PL02,2025-04-08,
45000000019,00001,M100029,44,135.28,5952.32,PL02,2025-02-25,
45000000019,00002,M100093,60,18.04,1082.4,PL01,2025-03-12,
45000000019,00003,M100402,55,7.09,389.95,PL02,2025-03-07,
45000000020,00001,M100140,53,50.63,2683.39,PL04,2025-04-28,
45000000020,00002,M100157,57,116.64,6648.48,PL04,2025-04-01,
45000000020,00003,M100453,53,84.05,4454.65,PL02,2025-03-14,
45000000021,00001,M100034,47,11.68,548.96,PL04,2025-07-05,
45000000021,00002,M100121,45,4.85,218.25,PL04,2025-07-27,
45000000022,00001,M100463,53,18.73,992.69,PL04,2025-07-16,
45000000022,00002,M100484,57,471.97,26902.29,PL04,2025-07-19,
45000000023,00001,M100140,55,14.81,814.55,PL01,2025-07-27,
45000000024,00001,M100085,59,18.69,1102.71,PL03,2025-03-21,
45000000024,00002,M100059,40,77.76,3110.4,PL02,2025-04-16,
45000000025,00001,M100400,50,5.69,284.5,PL04,2025-06-02,
45000000025,00002,M100455,57,183.47,10457.79,PL02,2025-06-16,
45000000025,00003,M100025,56,108.78,6091.68,PL01,2025-07-20,
45000000026,00001,M100410,54,14.5,783.0,PL03,2025-05-26,
45000000027,00001,M100063,50,79.94,3997.0,PL02,2025-07-03,
45000000028,00001,M100408,51,2.66,135.66,PL02,2025-04-20,
45000000028,00002,M100478,58,33.2,1925.6,PL04,2025-04-10,
45000000028,00003,M100316,47,104.15,4895.05,PL02,2025-04-05,
