MBLNR,MJAHR,MATNR,EBELN,EBELP,GR_DATE,GR_QTY,BWART
63492611,2025,M100153,45000000001,00001,2025-01-21,26,101
55556761,2025,M100153,45000000001,00001,2025-02-19,43,105
60037720,2025,M100291,45000000002,00001,2025-07-09,62,105
67325500,2025,M100281,45000000003,00001,2025-03-31,18,105
56169006,2025,M100281,45000000003,00001,2025-04-20,17,105
59247939,2025,M100281,45000000003,00001,2025-04-28,13,101
69875508,2025,M100139,45000000003,00002,2025-06-07,51,105
53696983,2025,M100159,45000000003,00003,2025-06-04,57,101
50521972,2025,M100296,45000000004,00001,2025-05-09,55,105
58056678,2025,M100209,45000000004,00002,2025-04-04,44,105
64135785,2025,M100255,45000000004,00003,2025-04-30,52,101
60940877,2025,M100083,45000000005,00001,2025-08-01,14,105
56170003,2025,M100083,45000000005,00001,2025-08-08,32,105
52725391,2025,M100495,45000000006,00001,2025-03-24,21,101
59906445,2025,M100495,45000000006,00001,2025-02-21,8,105
60007830,2025,M100495,45000000006,00001,2025-03-02,10,101
50623017,2025,M100169,45000000007,00001,2025-05-10,46,105
58343108,2025,M100231,45000000007,00002,2025-04-01,18,101
58934207,2025,M100231,45000000007,00002,2025-03-29,12,105
63591861,2025,M100231,45000000007,00002,2025-04-15,18,105
50025808,2025,M100153,45000000007,00003,2025-05-07,42,101
60346129,2025,M100011,45000000009,00001,2025-04-14,46,101
58584639,2025,M100465,45000000009,00002,2025-04-06,70,105
62321748,2025,M100256,45000000009,00003,2025-04-01,49,102
59126042,2025,M100014,45000000009,00004,2025-04-18,39,105
69124534,2025,M100014,45000000009,00004,2025-04-02,8,102
58347325,2025,M100014,45000000009,00004,2025-04-24,27,105
56629869,2025,M100371,45000000010,00001,2025-06-16,19,101
62789590,2025,M100371,45000000010,00001,2025-06-05,12,102
67748267,2025,M100371,45000000010,00001,2025-06-20,23,102
69511124,2025,M100270,45000000011,00001,2025-04-16,42,102
54526105,2025,M100344,45000000011,00002,2025-03-13,56,105
62983940,2025,M100029,45000000012,00001,2025-06-02,50,101
50371770,2025,M100245,45000000013,00001,2025-07-12,61,102
69099046,2025,M100458,45000000014,00001,2025-03-28,61,105
62648522,2025,M100484,45000000015,00001,2025-07-13,63,105
57225485,2025,M100222,45000000017,00001,2025-05-17,64,102
65568964,2025,M100377,45000000018,00001,2025-03-10,20,105
65131029,2025,M100377,45000000018,00001,2025-03-16,29,105
54074113,2025,M100043,45000000018,00002,2025-03-18,9,101
51639326,2025,M100043,45000000018,00002,2025-03-07,15,105
58288593,2025,M100043,45000000018,00002,2025-03-07,24,101
52839973,2025,M100456,45000000018,00003,2025-04-17,39,101
59717124,2025,M100093,45000000019,00002,2025-03-13,60,102
54925592,2025,M100402,45000000019,00003,2025-04-02,31,105
60232748,2025,M100402,45000000019,00003,2025-03-08,13,105
51132653,2025,M100402,45000000019,00003,2025-03-18,11,102
60083744,2025,M100140,45000000020,00001,2025-05-08,53,101
60784299,2025,M100157,45000000020,00002,2025-04-29,57,101
69845323,2025,M100034,45000000021,00001,2025-07-04,47,105
59969782,2025,M100121,45000000021,00002,2025-08-17,45,101
59960682,2025,M100463,45000000022,00001,2025-07-21,53,101
56128765,2025,M100484,45000000022,00002,2025-07-25,12,101
51039524,2025,M100484,45000000022,00002,2025-08-06,23,105
64315198,2025,M100484,45000000022,00002,2025-08-16,22,102
63444548,2025,M100140,45000000023,00001,2025-08-09,23,101
62415863,2025,M100140,45000000023,00001,2025-07-26,32,102
62230434,2025,M100085,45000000024,00001,2025-03-23,22,101
65051508,2025,M100085,45000000024,00001,2025-03-18,37,105
64448989,2025,M100059,45000000024,00002,2025-05-16,40,105
50225739,2025,M100400,45000000025,00001,2025-06-17,50,102
55481680,2025,M100455,45000000025,00002,2025-07-14,17,102
56515303,2025,M100455,45000000025,00002,2025-06-27,23,102
63579619,2025,M100455,45000000025,00002,2025-07-03,17,101
56591744,2025,M100025,45000000025,00003,2025-08-17,56,105
52084061,2025,M100410,45000000026,00001,2025-06-14,54,101
54919507,2025,M100063,45000000027,00001,2025-07-11,29,105
69590038,2025,M100063,45000000027,00001,2025-07-21,21,105
66249715,2025,M100408,45000000028,00001,2025-05-20,51,101
56168931,2025,M100478,45000000028,00002,2025-04-26,58,102
50002866,2025,M100187,45000000028,00004,2025-05-28,24,102
64470413,2025,M100187,45000000028,00004,2025-06-10,34,101
57566278,2025,M100427,45000000029,00001,2025-03-19,25,102
50172411,2025,M100427,45000000029,00001,2025-02-25,12,105
63876061,2025,M100427,45000000029,00001,2025-03-23,10,102
51144743,2025,M100016,45000000029,00002,2025-02-01,29,105
53014141,2025,M100016,45000000029,00002,2025-02-19,29,102
69900781,2025,M100178,45000000029,00003,2025-02-27,26,102
62869019,2025,M100178,45000000029,00003,2025-02-22,7,101
51242836,2025,M100178,45000000029,00003,2025-03-05,16,105
