EBELN,BUKRS,LIFNR,EKORG,AEDAT,NETWR,WAERS,BSTAT
45000000001,2000,100096,P100,2025-01-05,5401.59,USD,
45000000002,3000,100177,P100,2025-06-18,259.78,EUR,B
45000000003,1000,100161,P100,2025-03-27,5291.94,USD,B
45000000004,3000,100139,P100,2025-03-28,4567.19,EUR,A
45000000005,2000,100112,P300,2025-06-28,992.22,INR,
45000000006,3000,100075,P200,2025-01-17,1047.15,INR,A
45000000007,1000,100013,P100,2025-02-21,4514.96,INR,A
45000000008,3000,100012,P200,2025-03-21,642.95,EUR,A
45000000009,1000,100056,P300,2025-03-06,19984.09,INR,A
45000000010,1000,100116,P300,2025-04-02,1864.62,USD,A
45000000011,2000,100055,P200,2025-02-01,1082.9,USD,B
45000000012,2000,100087,P200,2025-04-23,2128.0,INR,A
45000000013,2000,100059,P200,2025-06-27,1500.6,EUR,A
45000000014,3000,100183,P200,2025-01-22,7274.86,INR,A
45000000015,1000,100094,P300,2025-06-04,23705.41,USD,A
45000000016,1000,100140,P200,2025-01-27,82.0,EUR,A
45000000017,2000,100111,P300,2025-03-20,1347.84,EUR,A
45000000018,3000,100171,P200,2025-02-12,22402.2,USD,A
45000000019,3000,100162,P200,2025-01-11,7424.67,EUR,A
45000000020,3000,100063,P100,2025-03-12,13786.52,INR,B
45000000021,2000,100028,P200,2025-06-13,767.21,EUR,B
45000000022,1000,100072,P100,2025-06-23,27894.98,INR,B
45000000023,2000,100051,P100,2025-06-23,814.55,INR,
45000000024,3000,100089,P200,2025-03-02,4213.11,USD,A
45000000025,1000,100126,P300,2025-05-26,16833.97,INR,B
45000000026,2000,100029,P200,2025-04-26,783.0,USD,
45000000027,1000,100088,P300,2025-05-27,3997.0,USD,A
45000000028,3000,100031,P200,2025-03-22,7217.89,INR,
45000000029,3000,100180,P100,2025-01-07,6336.49,USD,B
45000000030,3000,100183,P100,2025-04-10,2149.31,USD,A
45000000031,2000,100073,P100,2025-06-30,2860.26,EUR,A
45000000032,2000,100033,P100,2025-06-27,1110.4,INR,
