EBELN,EBELP,po_line_id,MATNR,order_qty,line_netwr,vendor_id,vendor_name,plant,purchase_org,scheduled_date,gr_date,gr_qty,created_date,currency
45000000001,00001,45000000001_00001,M100153,69,73.45,100096,Unity Machinery Italy,PL02,P100,2025-01-20,2025-01-21,69.0,1736035200000000000,USD
45000000001,00002,45000000001_00002,M100057,51,6.54,100096,Unity Machinery Italy,PL03,P100,2025-01-13,,,1736035200000000000,USD
45000000002,00001,45000000002_00001,M100291,62,4.19,100177,Zenith Dynamics Canada,PL03,P100,2025-06-24,2025-07-09,62.0,1750204800000000000,EUR
45000000003,00001,45000000003_00001,M100281,48,33.71,100161,Bluewave Holdings China,PL01,P100,2025-04-02,2025-03-31,48.0,1743033600000000000,USD
45000000003,00002,45000000003_00002,M100139,51,48.13,100161,Bluewave Holdings China,PL03,P100,2025-05-14,2025-06-07,51.0,1743033600000000000,USD
45000000003,00003,45000000003_00003,M100159,57,21.39,100161,Bluewave Holdings China,PL02,P100,2025-05-14,2025-06-04,57.0,1743033600000000000,USD
45000000004,00001,45000000004_00001,M100296,55,25.77,100139,Harbor Automation Mexico,PL01,P100,2025-05-04,2025-05-09,55.0,1743120000000000000,EUR
45000000004,00002,45000000004_00002,M100209,44,42.29,100139,Harbor Automation Mexico,PL03,P100,2025-04-06,2025-04-04,44.0,1743120000000000000,EUR
45000000004,00003,45000000004_00003,M100255,52,24.79,100139,Harbor Automation Mexico,PL03,P100,2025-04-22,2025-04-30,52.0,1743120000000000000,EUR
45000000005,00001,45000000005_00001,M100083,46,21.57,100112,Zenith Systems Brazil,PL01,P300,2025-07-18,2025-08-01,46.0,1751068800000000000,INR
45000000006,00001,45000000006_00001,M100495,39,26.85,100075,Global Services China,PL01,P200,2025-02-24,2025-02-21,39.0,1737072000000000000,INR
45000000007,00001,45000000007_00001,M100169,46,32.24,100013,Continental Manufacturing Japan,PL02,P100,2025-04-17,2025-05-10,46.0,1740096000000000000,INR
45000000007,00002,45000000007_00002,M100231,48,17.21,100013,Continental Manufacturing Japan,PL04,P100,2025-03-21,2025-03-29,48.0,1740096000000000000,INR
45000000007,00003,45000000007_00003,M100153,42,52.52,100013,Continental Manufacturing Japan,PL03,P100,2025-04-12,2025-05-07,42.0,1740096000000000000,INR
45000000008,00001,45000000008_00001,M100171,55,11.69,100012,Advance Services Brazil,PL03,P200,2025-05-12,,,1742515200000000000,EUR
45000000009,00001,45000000009_00001,M100011,46,22.78,100056,Atlas Engineering Mexico,PL02,P300,2025-04-09,2025-04-14,46.0,1741219200000000000,INR
