EBELN,EBELP,ETENR,SCH_QTY,SCHEDULED_DATE
45000000001,00001,0010,69,2025-01-20
45000000001,00002,0010,19,2025-01-13
45000000001,00002,0020,32,2025-01-26
45000000002,00001,0010,62,2025-06-24
45000000003,00001,0010,24,2025-04-02
45000000003,00001,0020,24,2025-04-12
45000000003,00002,0010,51,2025-05-14
45000000003,00003,0010,57,2025-05-14
45000000004,00001,0010,55,2025-05-04
45000000004,00002,0010,15,2025-04-06
45000000004,00002,0020,29,2025-04-08
45000000004,00003,0010,30,2025-04-22
45000000004,00003,0020,22,2025-04-30
45000000005,00001,0010,46,2025-07-18
45000000006,00001,0010,39,2025-02-24
45000000007,00001,0010,46,2025-04-17
45000000007,00002,0010,48,2025-03-21
45000000007,00003,0010,42,2025-04-12
45000000008,00001,0010,29,2025-05-12
45000000008,00001,0020,26,2025-05-23
45000000009,00001,0010,46,2025-04-09
45000000009,00002,0010,70,2025-03-13
45000000009,00003,0010,27,2025-03-07
45000000009,00003,0020,22,2025-03-11
45000000009,00004,0010,34,2025-03-27
45000000009,00004,0020,40,2025-03-28
45000000010,00001,0010,54,2025-05-25
45000000011,00001,0010,42,2025-03-27
45000000011,00002,0010,56,2025-03-05
45000000012,00001,0010,50,2025-05-03
45000000013,00001,0010,61,2025-07-07
45000000014,00001,0010,61,2025-03-02
45000000015,00001,0010,63,2025-06-24
45000000015,00002,0010,52,2025-06-22
45000000015,00003,0010,42,2025-07-15
45000000016,00001,0010,41,2025-02-28
45000000017,00001,0010,64,2025-05-05
45000000018,00001,0010,49,2025-02-16
45000000018,00002,0010,48,2025-02-22
45000000018,00003,0010,39,2025-04-08
45000000019,00001,0010,16,2025-02-25
45000000019,00001,0020,28,2025-03-11
45000000019,00002,0010,37,2025-03-12
45000000019,00002,0020,23,2025-03-22
45000000019,00003,0010,33,2025-03-07
45000000019,00003,0020,22,2025-03-09
45000000020,00001,0010,53,2025-04-28
45000000020,00002,0010,57,2025-04-01
45000000020,00003,0010,53,2025-03-14
45000000021,00001,0010,27,2025-07-05
45000000021,00001,0020,20,2025-07-11
45000000021,00002,0010,45,2025-07-27
45000000022,00001,0010,53,2025-07-16
45000000022,00002,0010,57,2025-07-19
45000000023,00001,0010,55,2025-07-27
45000000024,00001,0010,59,2025-03-21
45000000024,00002,0010,23,2025-04-16
45000000024,00002,0020,17,2025-04-23
45000000025,00001,0010,50,2025-06-02
45000000025,00002,0010,57,2025-06-16
45000000025,00003,0010,56,2025-07-20
45000000026,00001,0010,54,2025-05-26
45000000027,00001,0010,50,2025-07-03
45000000028,00001,0010,51,2025-04-20
45000000028,00002,0010,58,2025-04-10
45000000028,00003,0010,25,2025-04-05
45000000028,00003,0020,22,2025-04-18
45000000028,00004,0010,29,2025-05-13
45000000028,00004,0020,29,2025-05-26
45000000029,00001,0010,47,2025-02-24
45000000029,00002,0010,24,2025-01-31
45000000029,00002,0020,34,2025-02-04
45000000029,00003,0010,49,2025-02-20
45000000030,00001,0010,47,2025-05-05
45000000031,00001,0010,41,2025-08-13
45000000031,00002,0010,57,2025-08-29
45000000032,00001,0010,45,2025-07-04
45000000032,00002,0010,62,2025-07-28
45000000033,00001,0010,34,2025-01-23
45000000033,00001,0020,25,2025-01-27
45000000033,00002,0010,57,2025-02-21
45000000033,00003,0010,49,2025-02-26
45000000034,00001,0010,26,2025-02-02
45000000034,00001,0020,29,2025-02-08
45000000034,00002,0010,53,2025-02-08
45000000035,00001,0010,17,2025-01-25
45000000035,00001,0020,27,2025-01-26
45000000035,00002,0010,48,2025-02-12
45000000035,00003,0010,48,2025-02-06
45000000035,00004,0010,63,2025-02-28
45000000035,00005,0010,43,2025-03-08
45000000036,00001,0010,52,2025-04-01
45000000036,00002,0010,51,2025-04-07
45000000036,00003,0010,46,2025-02-28
45000000036,00004,0010,52,2025-03-06
45000000036,00005,0010,53,2025-02-18
45000000036,00006,0010,51,2025-02-16
45000000037,00001,0010,47,2025-03-18
45000000037,00002,0010,53,2025-02-16
45000000038,00001,0010,45,2025-03-11
45000000039,00001,0010,48,2025-05-24
45000000039,00002,0010,30,2025-04-28
45000000039,00002,0020,22,2025-04-30
45000000040,00001,0010,33,2025-07-03
45000000041,00001,0010,58,2025-04-10
45000000042,00001,0010,42,2025-05-22
45000000043,00001,0010,42,2025-02-07
45000000044,00001,0010,38,2025-05-26
45000000044,00002,0010,53,2025-05-26
45000000044,00003,0010,30,2025-05-05
45000000044,00003,0020,17,2025-05-11
45000000044,00004,0010,44,2025-06-18
45000000045,00001,0010,52,2025-07-04
45000000045,00002,0010,45,2025-06-03
45000000045,00002,0020,25,2025-06-04
45000000045,00003,0010,59,2025-05-23
45000000046,00001,0010,50,2025-06-12
45000000046,00002,0010,41,2025-04-29
45000000046,00002,0020,20,2025-05-03
45000000047,00001,0010,14,2025-02-18
45000000047,00001,0020,25,2025-02-22
45000000047,00002,0010,24,2025-03-23
45000000047,00003,0010,51,2025-02-15
45000000047,00004,0010,19,2025-04-05
45000000047,00004,0020,23,2025-04-14
45000000047,00005,0010,25,2025-02-15
45000000047,00005,0020,23,2025-02-23
45000000048,00001,0010,68,2025-04-01
45000000049,00001,0010,60,2025-03-30
45000000049,00002,0010,43,2025-04-03
45000000049,00003,0010,43,2025-03-22
45000000050,00001,0010,20,2025-02-05
45000000050,00001,0020,34,2025-02-14
45000000050,00002,0010,49,2025-03-17
45000000050,00003,0010,47,2025-02-11
45000000050,00004,0010,52,2025-03-19
45000000051,00001,0010,22,2025-02-27
45000000051,00001,0020,32,2025-03-08
45000000051,00002,0010,29,2025-03-04
45000000051,00002,0020,28,2025-03-12
45000000051,00003,0010,46,2025-03-10
45000000052,00001,0010,58,2025-07-11
45000000052,00002,0010,30,2025-06-14
45000000052,00002,0020,18,2025-06-29
45000000053,00001,0010,46,2025-06-17
45000000053,00002,0010,47,2025-06-24
45000000054,00001,0010,15,2025-01-30
45000000054,00001,0020,34,2025-02-03
45000000054,00002,0010,58,2025-02-28
45000000054,00003,0010,45,2025-02-08
45000000054,00004,0010,20,2025-03-09
45000000054,00004,0020,40,2025-03-15
45000000055,00001,0010,48,2025-06-21
45000000055,00002,0010,59,2025-07-03
45000000055,00003,0010,50,2025-07-28
45000000056,00001,0010,21,2025-07-09
45000000056,00001,0020,28,2025-07-19
45000000056,00002,0010,50,2025-06-19
45000000057,00001,0010,17,2025-04-29
45000000057,00001,0020,24,2025-05-09
45000000057,00002,0010,16,2025-04-30
45000000057,00002,0020,38,2025-05-08
45000000058,00001,0010,45,2025-07-30
45000000059,00001,0010,56,2025-07-01
45000000060,00001,0010,21,2025-06-14
45000000060,00001,0020,15,2025-06-26
45000000060,00002,0010,52,2025-06-19
45000000060,00003,0010,44,2025-06-10
45000000061,00001,0010,45,2025-03-05
45000000062,00001,0010,57,2025-04-20
45000000062,00002,0010,54,2025-04-24
45000000062,00003,0010,51,2025-05-08
45000000063,00001,0010,53,2025-05-29
45000000063,00002,0010,36,2025-06-01
45000000064,00001,0010,50,2025-03-17
45000000064,00002,0010,56,2025-02-06
45000000064,00003,0010,43,2025-03-14
45000000065,00001,0010,43,2025-02-18
45000000065,00002,0010,64,2025-03-16
45000000065,00003,0010,55,2025-02-04
45000000066,00001,0010,24,2025-05-06
45000000066,00001,0020,24,2025-05-09
45000000066,00002,0010,49,2025-04-25
45000000066,00003,0010,43,2025-05-03
45000000067,00001,0010,63,2025-03-29
45000000068,00001,0010,55,2025-05-12
45000000068,00002,0010,25,2025-06-07
45000000068,00002,0020,35,2025-06-09
45000000069,00001,0010,43,2025-01-31
45000000069,00002,0010,54,2025-03-10
45000000069,00003,0010,50,2025-03-01
45000000069,00004,0010,42,2025-03-04
45000000070,00001,0010,47,2025-04-24
45000000070,00002,0010,49,2025-03-08
45000000071,00001,0010,50,2025-05-02
45000000071,00002,0010,53,2025-03-26
45000000071,00003,0010,32,2025-05-05
45000000071,00003,0020,19,2025-05-18
45000000072,00001,0010,51,2025-06-01
45000000073,00001,0010,62,2025-05-08
45000000073,00002,0010,38,2025-06-04
45000000073,00002,0020,18,2025-06-11
45000000074,00001,0010,47,2025-05-27
45000000075,00001,0010,54,2025-06-05
45000000075,00002,0010,26,2025-07-02
45000000075,00002,0020,22,2025-07-03
45000000075,00003,0010,52,2025-05-30
45000000075,00004,0010,41,2025-07-11
45000000076,00001,0010,52,2025-04-28
45000000076,00002,0010,37,2025-04-30
45000000076,00002,0020,25,2025-05-15
45000000077,00001,0010,20,2025-06-02
45000000077,00001,0020,24,2025-06-14
45000000077,00002,0010,30,2025-06-13
45000000077,00002,0020,29,2025-06-25
45000000077,00003,0010,30,2025-06-23
45000000077,00003,0020,26,2025-06-29
45000000078,00001,0010,43,2025-02-18
45000000078,00002,0010,47,2025-03-06
45000000078,00003,0010,52,2025-02-20
45000000079,00001,0010,27,2025-04-17
45000000079,00001,0020,14,2025-04-20
45000000079,00002,0010,42,2025-05-17
45000000080,00001,0010,51,2025-07-29
45000000080,00002,0010,29,2025-07-15
45000000080,00002,0020,18,2025-07-20
45000000080,00003,0010,64,2025-06-09
45000000080,00004,0010,50,2025-06-10
45000000080,00005,0010,56,2025-07-11
45000000081,00001,0010,48,2025-01-18
45000000081,00002,0010,17,2025-02-17
45000000081,00002,0020,33,2025-03-01
45000000081,00003,0010,53,2025-03-05
45000000081,00004,0010,70,2025-02-09
45000000081,00005,0010,32,2025-02-12
45000000081,00005,0020,20,2025-02-25
45000000082,00001,0010,27,2025-06-04
45000000082,00001,0020,24,2025-06-10
45000000083,00001,0010,45,2025-06-07
45000000083,00002,0010,33,2025-06-21
45000000083,00002,0020,27,2025-06-23
45000000083,00003,0010,58,2025-07-10
45000000083,00004,0010,39,2025-06-27
45000000083,00005,0010,45,2025-06-26
45000000084,00001,0010,44,2025-02-27
45000000084,00002,0010,32,2025-03-22
45000000084,00002,0020,19,2025-03-23
45000000084,00003,0010,63,2025-02-22
45000000085,00001,0010,36,2025-06-13
45000000085,00002,0010,30,2025-06-25
45000000085,00002,0020,18,2025-07-10
45000000085,00003,0010,18,2025-07-04
45000000085,00003,0020,32,2025-07-13
45000000086,00001,0010,34,2025-05-10
45000000086,00002,0010,39,2025-06-07
45000000087,00001,0010,51,2025-01-16
45000000087,00002,0010,45,2025-01-13
45000000087,00002,0020,27,2025-01-26
45000000087,00003,0010,47,2025-03-05
45000000087,00004,0010,52,2025-02-28
45000000088,00001,0010,24,2025-05-06
45000000088,00001,0020,16,2025-05-11
45000000088,00002,0010,49,2025-05-18
45000000088,00003,0010,50,2025-05-04
45000000088,00004,0010,47,2025-04-18
45000000089,00001,0010,46,2025-06-25
45000000090,00001,0010,64,2025-08-16
45000000090,00002,0010,28,2025-08-16
45000000090,00002,0020,20,2025-08-17
45000000091,00001,0010,22,2025-03-13
45000000091,00001,0020,13,2025-03-20
45000000091,00002,0010,56,2025-01-18
45000000092,00001,0010,43,2025-06-12
45000000092,00002,0010,56,2025-07-03
45000000093,00001,0010,51,2025-07-17
45000000093,00002,0010,35,2025-06-25
45000000093,00002,0020,16,2025-07-02
45000000094,00001,0010,54,2025-03-27
45000000095,00001,0010,28,2025-05-14
45000000095,00001,0020,23,2025-05-28
45000000096,00001,0010,47,2025-04-17
45000000096,00002,0010,52,2025-05-14
45000000097,00001,0010,57,2025-01-29
45000000097,00002,0010,32,2025-02-19
45000000097,00002,0020,16,2025-02-26
45000000098,00001,0010,56,2025-06-20
45000000099,00001,0010,48,2025-06-05
45000000099,00002,0010,52,2025-04-08
45000000099,00003,0010,38,2025-05-27
45000000099,00004,0010,64,2025-04-22
45000000100,00001,0010,60,2025-04-24
45000000100,00002,0010,54,2025-04-18
45000000100,00003,0010,46,2025-04-26
45000000101,00001,0010,50,2025-07-29
45000000101,00002,0010,43,2025-07-01
45000000102,00001,0010,60,2025-06-16
45000000102,00002,0010,48,2025-05-15
45000000102,00003,0010,49,2025-05-27
45000000103,00001,0010,46,2025-03-19
45000000104,00001,0010,50,2025-04-21
45000000105,00001,0010,21,2025-05-11
45000000105,00001,0020,26,2025-05-22
45000000105,00002,0010,58,2025-05-22
45000000105,00003,0010,17,2025-05-12
45000000105,00003,0020,18,2025-05-20
45000000105,00004,0010,61,2025-05-30
45000000105,00005,0010,56,2025-06-30
45000000105,00006,0010,33,2025-05-14
45000000105,00006,0020,17,2025-05-29
45000000105,00007,0010,23,2025-06-03
45000000105,00007,0020,28,2025-06-17
45000000106,00001,0010,58,2025-03-23
45000000107,00001,0010,15,2025-05-10
45000000107,00001,0020,29,2025-05-11
45000000108,00001,0010,48,2025-03-04
45000000109,00001,0010,27,2025-05-15
45000000109,00001,0020,16,2025-05-27
45000000110,00001,0010,52,2025-03-29
45000000110,00002,0010,56,2025-03-05
45000000111,00001,0010,42,2025-07-05
45000000112,00001,0010,13,2025-06-09
45000000112,00001,0020,24,2025-06-21
45000000112,00002,0010,61,2025-06-23
45000000112,00003,0010,28,2025-07-20
45000000112,00003,0020,18,2025-07-21
45000000113,00001,0010,62,2025-05-20
45000000113,00002,0010,47,2025-06-13
45000000113,00003,0010,46,2025-06-13
45000000113,00004,0010,22,2025-06-04
45000000113,00004,0020,37,2025-06-08
45000000113,00005,0010,51,2025-06-17
45000000114,00001,0010,18,2025-03-16
45000000114,00001,0020,34,2025-03-31
45000000114,00002,0010,51,2025-02-11
45000000114,00003,0010,45,2025-03-14
45000000115,00001,0010,25,2025-02-11
45000000115,00001,0020,33,2025-02-18
45000000115,00002,0010,30,2025-03-17
45000000115,00002,0020,29,2025-03-19
45000000115,00003,0010,54,2025-03-23
45000000116,00001,0010,30,2025-03-27
45000000116,00001,0020,14,2025-04-11
45000000116,00002,0010,14,2025-03-25
45000000116,00002,0020,29,2025-04-04
45000000116,00003,0010,29,2025-02-23
45000000116,00003,0020,37,2025-02-27
45000000117,00001,0010,39,2025-08-01
45000000117,00002,0010,29,2025-07-31
45000000117,00002,0020,30,2025-08-11
45000000117,00003,0010,55,2025-06-29
45000000117,00004,0010,54,2025-07-01
45000000118,00001,0010,66,2025-06-24
45000000118,00002,0010,59,2025-06-18
45000000118,00003,0010,51,2025-06-28
45000000119,00001,0010,32,2025-03-29
45000000119,00001,0020,35,2025-04-13
45000000120,00001,0010,44,2025-03-26
45000000120,00002,0010,46,2025-02-20
45000000121,00001,0010,45,2025-06-01
45000000121,00002,0010,39,2025-06-10
45000000121,00002,0020,18,2025-06-24
